,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
104,29007,Audrain,Missouri,US,39.215877,-91.84242683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,19009,Audubon,Iowa,US,41.6844628,-94.90581859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,39011,Auglaize,Ohio,US,40.55998859,-84.22421429999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,51015,Augusta,Virginia,US,38.16404586,-79.12461614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,46003,Aurora,South Dakota,US,43.71757685,-98.56050467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,48015,Austin,Texas,US,29.88548725,-96.27736949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1001,Autauga,Alabama,US,32.53952745,-86.64408227,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,37011,Avery,North Carolina,US,36.07569796,-81.92308483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,22009,Avoyelles,Louisiana,US,31.07796211,-92.00079449,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8009,Baca,Colorado,US,37.31940883,-102.5603223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,13005,Bacon,Georgia,US,31.55456473,-82.45936528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,48017,Bailey,Texas,US,34.06854817,-102.8299707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,12003,Baker,Florida,US,30.33060121,-82.28467476,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,13007,Baker,Georgia,US,31.32669878,-84.44218806,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,41001,Baker,Oregon,US,44.70915557,-117.6749883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1003,Baldwin,Alabama,US,30.72774991,-87.72207058,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,13009,Baldwin,Georgia,US,33.06882326,-83.24701748,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,21007,Ballard,Kentucky,US,37.05842757,-88.99427697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,24005,Baltimore,Maryland,US,39.45784712,-76.62911955,51,42,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,24510,Baltimore City,Maryland,US,39.30211911,-76.61151012,53,41,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,45009,Bamberg,South Carolina,US,33.21927586,-81.05659969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,48019,Bandera,Texas,US,29.74619598,-99.24598147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,13011,Banks,Georgia,US,34.35607081,-83.49644388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,31007,Banner,Nebraska,US,41.54634427,-103.7114332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,16005,Bannock,Idaho,US,42.67002716,-112.2233311,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,26013,Baraga,Michigan,US,46.6720582,-88.36363591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,20007,Barber,Kansas,US,37.2288586,-98.68460053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1005,Barbour,Alabama,US,31.868263,-85.3871286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,54001,Barbour,West Virginia,US,39.1307219,-80.00350858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,38003,Barnes,North Dakota,US,46.93579637,-98.06605978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,25001,Barnstable,Massachusetts,US,41.72980578,-70.28854339,51,40,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,45011,Barnwell,South Carolina,US,33.26679302,-81.43584352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,21009,Barren,Kentucky,US,36.96469836,-85.93338945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,55005,Barron,Wisconsin,US,45.42372701,-91.84833627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,13013,Barrow,Georgia,US,33.99148694,-83.71436292,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,26015,Barry,Michigan,US,42.59513984,-85.30834519,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,29009,Barry,Missouri,US,36.70978521,-93.82919888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,18005,Bartholomew,Indiana,US,39.20744865,-85.89558181,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,20009,Barton,Kansas,US,38.47889676,-98.75636726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,29011,Barton,Missouri,US,37.50207671,-94.34757022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,13015,Bartow,Georgia,US,34.23732119,-84.83887523,78,74,61,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,48021,Bastrop,Texas,US,30.10370699,-97.31206354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,29013,Bates,Missouri,US,38.25271289,-94.34113157,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,21011,Bath,Kentucky,US,38.14735938,-83.74588932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,51017,Bath,Virginia,US,38.05852573,-79.73912095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,5005,Baxter,Arkansas,US,36.28784385,-92.33782872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,12005,Bay,Florida,US,30.26548745,-85.62122584,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,26017,Bay,Michigan,US,43.70639106,-83.98731479,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,55007,Bayfield,Wisconsin,US,46.52868768,-91.19716729,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,48023,Baylor,Texas,US,33.61640794,-99.21352901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,46005,Beadle,South Dakota,US,44.41464384,-98.27858469,13,13,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,16007,Bear Lake,Idaho,US,42.28269683,-111.32892379999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,37013,Beaufort,North Carolina,US,35.48531943,-76.84325809,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,45013,Beaufort,South Carolina,US,32.39226291,-80.72619758,26,22,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,22011,Beauregard,Louisiana,US,30.64836518,-93.34173616,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,40007,Beaver,Oklahoma,US,36.7496847,-100.4758872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,42007,Beaver,Pennsylvania,US,40.6825484,-80.34921611,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,49001,Beaver,Utah,US,38.35657051,-113.2342232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,30001,Beaverhead,Montana,US,45.13434354,-112.8984694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,27005,Becker,Minnesota,US,46.93479392,-95.67158144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,40009,Beckham,Oklahoma,US,35.26862449,-99.68128023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,42009,Bedford,Pennsylvania,US,40.00522157,-78.48998442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,47003,Bedford,Tennessee,US,35.51123746,-86.45549096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,51019,Bedford,Virginia,US,37.3080028,-79.5281964,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,48025,Bee,Texas,US,28.41761668,-97.74215593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,33001,Belknap,New Hampshire,US,43.51637314,-71.41684235,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,21013,Bell,Kentucky,US,36.73355174,-83.67766671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,48027,Bell,Texas,US,31.03736027,-97.4785025,19,18,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,39013,Belmont,Ohio,US,40.01625942,-80.9924051,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,27007,Beltrami,Minnesota,US,47.97373527,-94.93732139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,13017,Ben Hill,Georgia,US,31.76095874,-83.22145359,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,16009,Benewah,Idaho,US,47.21754179,-116.6586851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,46007,Bennett,South Dakota,US,43.19486375,-101.6665572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,50003,Bennington,Vermont,US,43.03519828,-73.09048868,11,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,38005,Benson,North Dakota,US,48.0683985,-99.35916363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,8011,Bent,Colorado,US,37.95474293,-103.0720195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5007,Benton,Arkansas,US,36.33644656,-94.25680817,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,18007,Benton,Indiana,US,40.60626947,-87.31093999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,19011,Benton,Iowa,US,42.08011739,-92.06463573,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,27009,Benton,Minnesota,US,45.69804958,-93.99514135,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,28009,Benton,Mississippi,US,34.81681228,-89.18945516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
